identifier,asset_type,instruction,eligible_for_bounty,eligible_for_submission,availability_requirement,confidentiality_requirement,integrity_requirement,max_severity,system_tags,created_at,updated_at
*.grammarly.io,WILDCARD,"",true,true,low,low,low,critical,,2017-09-15 17:16:53 UTC,2024-09-05 13:21:24 UTC
Grammarly Browser Extensions,OTHER,"The extension is available in the extension/add-on store of the respective browser: 
* [Chrome](https://chrome.google.com/webstore/detail/grammarly-for-chrome/kbfnbcaeplbcioakkpcpgfkobkghlhen?hl=en) 
* [Firefox](https://addons.mozilla.org/en-US/firefox/addon/grammarly-1/)
* [Edge](https://microsoftedge.microsoft.com/addons/detail/grammarly-ai-writing-and/cnlefmmeadmemmdciolhbnfeacpdfbkd)
* [Safari](https://apps.apple.com/us/app/grammarly-for-safari/id1462114288)

**Browser Extension vulnerabilities will not be distinguished. For example, if a vulnerability exists in the Chrome and Safari extensions, we will consider it the same vulnerability and will only award one bounty.**",true,true,not_defined,not_defined,not_defined,critical,,2017-11-15 15:36:08 UTC,2025-11-20 12:11:41 UTC
*.grammarlyaws.com,WILDCARD,"",true,true,low,low,low,critical,,2018-03-05 18:21:53 UTC,2025-11-21 11:26:12 UTC
com.grammarly.keyboard,APPLE_STORE_APP_ID,[Grammarly for iOS](https://www.grammarly.com/mobile/ios),true,true,high,high,high,critical,,2018-03-22 19:09:59 UTC,2025-11-20 12:20:11 UTC
com.grammarly.android.keyboard,GOOGLE_PLAY_APP_ID,"[Grammarly for Android](https://www.grammarly.com/mobile/android).

Vulnerabilities with PoC may qualify for additional bounty via [Google Play Security Rewards Program](https://hackerone.com/googleplay). See [Vulnerability Criteria](https://hackerone.com/googleplay) for details.",true,true,high,high,high,critical,,2018-03-22 19:11:40 UTC,2025-11-20 12:22:21 UTC
Third party external services,OTHER,"- `send.grammarly.com`
- `calendar.grammarly.com`
- `support.grammarly.com`
- `status.grammarly.com`
- `brand.grammarly.com`
- `partners.grammarly.com`
- `events.grammarly.com`
- `go.grammarly.com`

Any submissions on these domains and their subdomains are out of scope for bounty.",false,false,,,,critical,,2019-10-09 01:36:01 UTC,2025-11-20 12:16:50 UTC
Grammarly Desktop for Windows,DOWNLOADABLE_EXECUTABLES,https://download-windows.grammarly.com/GrammarlyInstaller.exe,true,true,,high,,critical,C#,2021-02-11 15:56:58 UTC,2021-11-23 16:05:47 UTC
Grammarly Desktop for macOS,DOWNLOADABLE_EXECUTABLES,https://download-mac.grammarly.com/Grammarly.dmg,true,true,,high,,critical,Swift,2021-05-17 15:37:54 UTC,2021-11-23 15:38:20 UTC
*.grammarly.com,WILDCARD,"",true,true,,,,critical,,2021-06-17 12:58:29 UTC,2024-08-29 08:30:14 UTC
Capture the Flag,OTHER,"The first hacker who reports the `$FLAG` saved in the document (`document_id: 1198436185`) of the user `h1_ctf@grammarly.com` (`user_id: 1411519194`) will be awarded a **$100K bounty**.
",true,true,,not_defined,,critical,,2021-07-20 10:27:27 UTC,2024-10-21 10:01:56 UTC
